[TARGET: org.apache.commons.math3.primes.PollardRho]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   43 ||    0 |    0 |    8 |   16 |
|   45 ||    0 |    0 |    8 |   16 |
|   46 ||    0 |    0 |    8 |   16 |
|   47 ||    0 |    0 |    8 |   16 |
|   50 ||    0 |    0 |    8 |   16 |
|   51 ||    0 |    0 |    8 |   16 |
|   52 ||    0 |    0 |    8 |   16 |
|   55 ||    0 |    0 |    8 |   16 |
|   56 ||    0 |    0 |    8 |   16 |
|   57 ||    0 |    0 |    8 |   16 |
|   58 ||    0 |    0 |    8 |   16 |
|   74 ||    0 |    0 |    8 |   16 |
|   75 ||    0 |    0 |    8 |   16 |
|   76 ||    0 |    0 |    8 |   16 |
|   77 ||    0 |    0 |    8 |   16 |
|   78 ||    0 |    0 |    8 |   16 |
|   80 ||    0 |    0 |    8 |   16 |
|   81 ||    0 |    0 |    8 |   16 |
|   82 ||    0 |    0 |    8 |   16 |
|   83 ||    0 |    0 |    8 |   16 |
|   85 ||    0 |    0 |    8 |   16 |
|   87 ||    0 |    0 |    8 |   16 |
|   88 ||    0 |    0 |    8 |   16 |
|   89 ||    0 |    0 |    8 |   16 |
|   90 ||    0 |    0 |    8 |   16 |
|   91 ||    0 |    0 |    8 |   16 |
|   92 ||    0 |    0 |    8 |   16 |
|   93 ||    0 |    0 |    8 |   16 |
|   94 ||    0 |    0 |    8 |   16 |
|   95 ||    0 |    0 |    8 |   16 |
|   96 ||    0 |    0 |    8 |   16 |
|   97 ||    0 |    0 |    8 |   16 |
|   98 ||    0 |    0 |    8 |   16 |
|  100 ||    0 |    0 |    8 |   16 |
|  101 ||    0 |    0 |    8 |   16 |
|  102 ||    0 |    0 |    8 |   16 |
|  103 ||    0 |    0 |    8 |   16 |
|  106 ||    0 |    0 |    8 |   16 |
|  107 ||    0 |    0 |    8 |   16 |
|  108 ||    0 |    0 |    8 |   16 |
|  110 ||    0 |    0 |    8 |   16 |
|  111 ||    0 |    0 |    8 |   16 |
|  112 ||    0 |    0 |    8 |   16 |
|  113 ||    0 |    0 |    8 |   16 |
|  136 ||    0 |    0 |    8 |   16 |
|  137 ||    0 |    0 |    8 |   16 |
|  138 ||    0 |    0 |    8 |   16 |
|  139 ||    0 |    0 |    8 |   16 |
|  143 ||    0 |    0 |    8 |   16 |
|  144 ||    0 |    0 |    8 |   16 |
|  145 ||    0 |    0 |    8 |   16 |
|  146 ||    0 |    0 |    8 |   16 |
|  147 ||    0 |    0 |    8 |   16 |
|  153 ||    0 |    0 |    8 |   16 |
|  154 ||    0 |    0 |    8 |   16 |
|  155 ||    0 |    0 |    8 |   16 |
|  156 ||    0 |    0 |    8 |   16 |
|  159 ||    0 |    0 |    8 |   16 |
|  160 ||    0 |    0 |    8 |   16 |
|  163 ||    0 |    0 |    8 |   16 |
=====================================

[TARGET: org.apache.commons.math3.primes.SmallPrimes]
=====================================
