[TARGET: org.apache.commons.math3.primes.PollardRho]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   43 ||    0 |    0 |    7 |    4 |
|   45 ||    0 |    0 |    7 |    4 |
|   46 ||    0 |    0 |    7 |    4 |
|   47 ||    0 |    0 |    7 |    4 |
|   50 ||    0 |    0 |    7 |    4 |
|   51 ||    0 |    0 |    7 |    4 |
|   52 ||    0 |    0 |    7 |    4 |
|   55 ||    0 |    0 |    7 |    4 |
|   56 ||    0 |    0 |    7 |    4 |
|   57 ||    0 |    0 |    7 |    4 |
|   58 ||    0 |    0 |    7 |    4 |
|   74 ||    0 |    0 |    7 |    4 |
|   75 ||    0 |    0 |    7 |    4 |
|   76 ||    0 |    0 |    7 |    4 |
|   77 ||    0 |    0 |    7 |    4 |
|   78 ||    0 |    0 |    7 |    4 |
|   80 ||    0 |    0 |    7 |    4 |
|   81 ||    0 |    0 |    7 |    4 |
|   82 ||    0 |    0 |    7 |    4 |
|   83 ||    0 |    0 |    7 |    4 |
|   85 ||    0 |    0 |    7 |    4 |
|   87 ||    0 |    0 |    7 |    4 |
|   88 ||    0 |    0 |    7 |    4 |
|   89 ||    0 |    0 |    7 |    4 |
|   90 ||    0 |    0 |    7 |    4 |
|   91 ||    0 |    0 |    7 |    4 |
|   92 ||    0 |    0 |    7 |    4 |
|   93 ||    0 |    0 |    7 |    4 |
|   94 ||    0 |    0 |    7 |    4 |
|   95 ||    0 |    0 |    7 |    4 |
|   96 ||    0 |    0 |    7 |    4 |
|   97 ||    0 |    0 |    7 |    4 |
|   98 ||    0 |    0 |    7 |    4 |
|  100 ||    0 |    0 |    7 |    4 |
|  101 ||    0 |    0 |    7 |    4 |
|  102 ||    0 |    0 |    7 |    4 |
|  103 ||    0 |    0 |    7 |    4 |
|  106 ||    0 |    0 |    7 |    4 |
|  107 ||    0 |    0 |    7 |    4 |
|  108 ||    0 |    0 |    7 |    4 |
|  110 ||    0 |    0 |    7 |    4 |
|  111 ||    0 |    0 |    7 |    4 |
|  112 ||    0 |    0 |    7 |    4 |
|  113 ||    0 |    0 |    7 |    4 |
|  136 ||    0 |    0 |    7 |    4 |
|  137 ||    0 |    0 |    7 |    4 |
|  138 ||    0 |    0 |    7 |    4 |
|  139 ||    0 |    0 |    7 |    4 |
|  143 ||    0 |    0 |    7 |    4 |
|  144 ||    0 |    0 |    7 |    4 |
|  145 ||    0 |    0 |    7 |    4 |
|  146 ||    0 |    0 |    7 |    4 |
|  147 ||    0 |    0 |    7 |    4 |
|  153 ||    0 |    0 |    7 |    4 |
|  154 ||    0 |    0 |    7 |    4 |
|  155 ||    0 |    0 |    7 |    4 |
|  156 ||    0 |    0 |    7 |    4 |
|  159 ||    0 |    0 |    7 |    4 |
|  160 ||    0 |    0 |    7 |    4 |
|  163 ||    0 |    0 |    7 |    4 |
=====================================

[TARGET: org.apache.commons.math3.primes.SmallPrimes]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   40 ||    0 |    0 |    7 |    4 |
|   69 ||    0 |    0 |    7 |    4 |
|   84 ||    0 |    0 |    7 |    4 |
|   85 ||    0 |    0 |    7 |    4 |
|   86 ||    0 |    0 |    7 |    4 |
|   87 ||    0 |    0 |    7 |    4 |
|   90 ||    0 |    0 |    7 |    4 |
|  101 ||    0 |    0 |    7 |    4 |
|  103 ||    0 |    0 |    7 |    4 |
|  104 ||    0 |    0 |    7 |    4 |
|  105 ||    0 |    0 |    7 |    4 |
|  106 ||    0 |    0 |    7 |    4 |
|  107 ||    0 |    0 |    7 |    4 |
|  109 ||    0 |    0 |    7 |    4 |
|  110 ||    0 |    0 |    7 |    4 |
|  111 ||    0 |    0 |    7 |    4 |
|  112 ||    0 |    0 |    7 |    4 |
|  113 ||    0 |    0 |    7 |    4 |
|  115 ||    0 |    0 |    7 |    4 |
|  117 ||    0 |    0 |    7 |    4 |
|  118 ||    0 |    0 |    7 |    4 |
|  120 ||    0 |    0 |    7 |    4 |
|  129 ||    0 |    0 |    7 |    4 |
|  130 ||    0 |    0 |    7 |    4 |
|  131 ||    0 |    0 |    7 |    4 |
|  132 ||    0 |    0 |    7 |    4 |
|  135 ||    0 |    0 |    7 |    4 |
|  136 ||    0 |    0 |    7 |    4 |
|  137 ||    0 |    0 |    7 |    4 |
|  150 ||    0 |    0 |    7 |    4 |
|  151 ||    0 |    0 |    7 |    4 |
|  152 ||    0 |    0 |    7 |    4 |
|  154 ||    0 |    0 |    7 |    4 |
|  155 ||    0 |    0 |    7 |    4 |
|  156 ||    0 |    0 |    7 |    4 |
|  158 ||    0 |    0 |    7 |    4 |
|  159 ||    0 |    0 |    7 |    4 |
|  161 ||    0 |    0 |    7 |    4 |
|  162 ||    0 |    0 |    7 |    4 |
|  164 ||    0 |    0 |    7 |    4 |
|  165 ||    0 |    0 |    7 |    4 |
|  167 ||    0 |    0 |    7 |    4 |
|  168 ||    0 |    0 |    7 |    4 |
|  169 ||    0 |    0 |    7 |    4 |
|  170 ||    0 |    0 |    7 |    4 |
|  171 ||    0 |    0 |    7 |    4 |
|  172 ||    0 |    0 |    7 |    4 |
|  173 ||    0 |    0 |    7 |    4 |
|  174 ||    0 |    0 |    7 |    4 |
|  175 ||    0 |    0 |    7 |    4 |
|  176 ||    0 |    0 |    7 |    4 |
|  177 ||    0 |    0 |    7 |    4 |
|  179 ||    0 |    0 |    7 |    4 |
|  180 ||    0 |    0 |    7 |    4 |
|  181 ||    0 |    0 |    7 |    4 |
|  182 ||    0 |    0 |    7 |    4 |
|  186 ||    0 |    0 |    7 |    4 |
=====================================

[TARGET: org.apache.commons.math3.primes.Primes]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   55 ||    0 |    0 |    7 |    4 |
|   56 ||    0 |    0 |    7 |    4 |
|   59 ||    0 |    0 |    7 |    4 |
|   60 ||    0 |    0 |    7 |    4 |
|   61 ||    0 |    0 |    7 |    4 |
|   64 ||    0 |    0 |    7 |    4 |
|   75 ||    0 |    0 |    7 |    4 |
|   76 ||    0 |    0 |    7 |    4 |
|   78 ||    0 |    0 |    7 |    4 |
|   79 ||    0 |    0 |    7 |    4 |
|   81 ||    0 |    0 |    7 |    4 |
|   82 ||    0 |    0 |    7 |    4 |
|   83 ||    0 |    0 |    7 |    4 |
|   86 ||    0 |    0 |    7 |    4 |
|   87 ||    0 |    0 |    7 |    4 |
|   92 ||    0 |    0 |    7 |    4 |
|   93 ||    0 |    0 |    7 |    4 |
|   94 ||    0 |    0 |    7 |    4 |
|   95 ||    0 |    0 |    7 |    4 |
|   97 ||    0 |    0 |    7 |    4 |
|  100 ||    0 |    0 |    7 |    4 |
|  101 ||    0 |    0 |    7 |    4 |
|  103 ||    0 |    0 |    7 |    4 |
|  104 ||    0 |    0 |    7 |    4 |
|  105 ||    0 |    0 |    7 |    4 |
|  107 ||    0 |    0 |    7 |    4 |
|  120 ||    0 |    0 |    7 |    4 |
|  121 ||    0 |    0 |    7 |    4 |
|  126 ||    0 |    0 |    7 |    4 |
=====================================

[TARGET: org.apache.commons.math3.primes.package-info]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
=====================================

[TARGET: org.apache.commons.math3.FieldElement]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
=====================================

[TARGET: org.apache.commons.math3.fitting.GaussianFitter]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   64 ||    0 |    0 |    7 |    4 |
|   65 ||    0 |    0 |    7 |    4 |
|   81 ||    0 |    0 |    7 |    4 |
|  107 ||    0 |    0 |    7 |    4 |
|  117 ||    0 |    0 |    7 |    4 |
|  118 ||    0 |    0 |    7 |    4 |
=====================================

[TARGET: org.apache.commons.math3.fitting.WeightedObservedPoint]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   45 ||    0 |    0 |    7 |    4 |
|   46 ||    0 |    0 |    7 |    4 |
|   47 ||    0 |    0 |    7 |    4 |
|   48 ||    0 |    0 |    7 |    4 |
|   49 ||    0 |    0 |    7 |    4 |
|   57 ||    0 |    0 |    7 |    4 |
|   66 ||    0 |    0 |    7 |    4 |
|   75 ||    0 |    0 |    7 |    4 |
=====================================

[TARGET: org.apache.commons.math3.fitting.HarmonicFitter]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   45 ||    0 |    0 |    7 |    4 |
|   46 ||    0 |    0 |    7 |    4 |
|   61 ||    0 |    0 |    7 |    4 |
|   76 ||    0 |    0 |    7 |    4 |
=====================================

[TARGET: org.apache.commons.math3.fitting.package-info]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
=====================================

[TARGET: org.apache.commons.math3.fitting.PolynomialFitter]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   37 ||    0 |    0 |    7 |    4 |
|   38 ||    0 |    0 |    7 |    4 |
|   54 ||    0 |    0 |    7 |    4 |
|   68 ||    0 |    0 |    7 |    4 |
=====================================

[TARGET: org.apache.commons.math3.fitting.CurveFitter]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   63 ||    0 |    0 |    7 |    4 |
|   64 ||    0 |    0 |    7 |    4 |
|   65 ||    0 |    0 |    7 |    4 |
|   66 ||    0 |    0 |    7 |    4 |
|   79 ||    0 |    0 |    7 |    4 |
|   80 ||    0 |    0 |    7 |    4 |
|   92 ||    0 |    0 |    7 |    4 |
|   93 ||    0 |    0 |    7 |    4 |
|  102 ||    0 |    0 |    7 |    4 |
|  103 ||    0 |    0 |    7 |    4 |
|  112 ||    0 |    0 |    7 |    4 |
|  119 ||    0 |    0 |    7 |    4 |
|  120 ||    0 |    0 |    7 |    4 |
|  136 ||    0 |    0 |    7 |    4 |
|  159 ||    0 |    0 |    7 |    4 |
|  160 ||    0 |    0 |    7 |    4 |
|  161 ||    0 |    0 |    7 |    4 |
|  162 ||    0 |    0 |    7 |    4 |
|  163 ||    0 |    0 |    7 |    4 |
|  164 ||    0 |    0 |    7 |    4 |
|  165 ||    0 |    0 |    7 |    4 |
|  166 ||    0 |    0 |    7 |    4 |
|  169 ||    0 |    0 |    7 |    4 |
|  172 ||    0 |    0 |    7 |    4 |
|  173 ||    0 |    0 |    7 |    4 |
|  174 ||    0 |    0 |    7 |    4 |
|  175 ||    0 |    0 |    7 |    4 |
|  180 ||    0 |    0 |    7 |    4 |
=====================================

[TARGET: org.apache.commons.math3.analysis.UnivariateFunction]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
=====================================

[TARGET: org.apache.commons.math3.analysis.BivariateFunction]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
=====================================

[TARGET: org.apache.commons.math3.analysis.DifferentiableUnivariateVectorFunction]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
=====================================

[TARGET: org.apache.commons.math3.analysis.DifferentiableUnivariateMatrixFunction]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
=====================================

[TARGET: org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator]
=====================================
| LINE ||  EP  |  EF  |  NP  |  NF  |
=====================================
|   43 ||    0 |    0 |    7 |    4 |
|   67 ||    0 |    0 |    7 |    4 |
|   68 ||    0 |    0 |    7 |    4 |
|   69 ||    0 |    0 |    7 |    4 |
|   71 ||    0 |    0 |    7 |    4 |
|   72 ||    0 |    0 |    7 |    4 |
|   86 ||    0 |    0 |    7 |    4 |
|   88 ||    0 |    0 |    7 |    4 |
|  106 ||    0 |    0 |    7 |    4 |
|  108 ||    0 |    0 |    7 |    4 |
|  115 ||    0 |    0 |    7 |    4 |
|  117 ||    0 |    0 |    7 |    4 |
|  120 ||    0 |    0 |    7 |    4 |
|  123 ||    0 |    0 |    7 |    4 |
|  124 ||    0 |    0 |    7 |    4 |
|  125 ||    0 |    0 |    7 |    4 |
|  126 ||    0 |    0 |    7 |    4 |
|  129 ||    0 |    0 |    7 |    4 |
|  131 ||    0 |    0 |    7 |    4 |
|  135 ||    0 |    0 |    7 |    4 |
|  136 ||    0 |    0 |    7 |    4 |
|  137 ||    0 |    0 |    7 |    4 |
|  138 ||    0 |    0 |    7 |    4 |
|  139 ||    0 |    0 |    7 |    4 |
|  153 ||    0 |    0 |    7 |    4 |
|  160 ||    0 |    0 |    7 |    4 |
|  161 ||    0 |    0 |    7 |    4 |
|  162 ||    0 |    0 |    7 |    4 |
|  164 ||    0 |    0 |    7 |    4 |
|  165 ||    0 |    0 |    7 |    4 |
